date,time,dex,pool_name,pool_address,tvl_usd,volume_24h_usd,bucket,pool_type,is_amplified,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok,fees_24h_usd,fee_apr,lp_total_supply,astro_staked_usd,assets_json
2026-09-15,15:02:16,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,807571.00,0.00,project,concentrated,false,817639.82,203,false,false,true,0.000000,0.00000000,6136438034226,86801.20,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""11328961258859"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""ampLUNA"",""denom"":""terra1ecgazyd0waaj3g7l9cmy5gulhxkps2gmxu9ghducvuypjq68mq2s5lvsct"",""amount"":""2938327968993"",""price_usd"":0.10377753790314076,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,415864.00,0.00,stable,concentrated,false,404375.17,203,false,false,true,0.000000,0.00000000,914896549323,339268.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""4696513493797"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""207457259647"",""price_usd"":0.999721,""precision"":6}]"
2026-09-15,15:02:16,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,374892.00,0.00,bluechip,concentrated,false,374026.71,203,false,false,true,0.000000,0.00000000,171918064454,337718.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""186627712839"",""price_usd"":0.999721,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""163757492108"",""price_usd"":1.15,""precision"":6}]"
2026-09-15,15:02:16,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,154222.00,0.00,single,concentrated,false,154809.67,203,false,false,true,0.000000,0.00000000,4280103,62654.90,"[{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""18311860213899459000"",""price_usd"":4278.44,""precision"":18},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""100204718"",""price_usd"":75744,""precision"":8}]"
2026-09-15,15:02:16,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,153152.00,0.00,bluechip,stable,false,153687.39,203,false,false,true,0.000000,0.00000000,76312602330,102118.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""73444853064"",""price_usd"":0.999721,""precision"":6},{""symbol"":""USDT"",""denom"":""ibc/9B19062D46CAB50361CE9B0A3E6D0A7A53AC9E7CB361F32A73CC733144A9A9E5"",""amount"":""79772411552"",""price_usd"":0.999491,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,137584.00,0.00,stable,concentrated,false,135944.79,203,false,false,true,0.000000,0.00000000,299238120438,128428.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""1556978293227"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""59541274234"",""price_usd"":1.15,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,93174.60,0.00,bluechip,concentrated,false,106190.67,203,false,false,true,0.000000,0.00000000,796645011,85075.90,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""1061987498186"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""60803291"",""price_usd"":75744,""precision"":8}]"
2026-09-15,15:02:16,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,75102.60,0.00,project,xyk,false,84267.33,203,false,false,true,0.000000,0.00000000,32782355959,60054.60,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""37616692593"",""price_usd"":0.999721,""precision"":6},{""symbol"":""SOLID"",""denom"":""terra10aa3zdkrc7jwuf8ekl3zq7e7m42vmzqehcmu74e4egc7xkm5kr2s0muyst"",""amount"":""37130058362"",""price_usd"":1.010177292428079,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,63503.50,0.00,project,concentrated,false,63979.03,203,false,false,true,0.000000,0.00000000,4117603284159,58188.90,"[{""symbol"":""CAPA"",""denom"":""terra1t4p3u8khpd7f8qzurwyafxt648dya6mp6vur3vaapswt6m24gkuqrfdhar"",""amount"":""24296738466980"",""price_usd"":0.001304557693934213,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""717756362120"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,43061.80,0.00,project,concentrated,false,43360.05,203,false,false,true,0.000000,0.00000000,2016193109514,33402.50,"[{""symbol"":""FUEL"",""denom"":""ibc/4B44179AC2F0BEE50C16A673B3B886398988692885B2848A1C8AEF27148B3961"",""amount"":""8494292898053"",""price_usd"":0.002566720618024916,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""479761144115"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-ROAR,terra189v2ewgfx5wdhje6geefdtxefeemujplk8qw2wx3x5hdswn95l8qf4n2r0,41695.80,0.00,project,concentrated,false,42384.25,203,false,false,true,0.000000,0.00000000,186841636761537,36777.40,"[{""symbol"":""ROAR"",""denom"":""terra1lxx40s29qvkrcj8fsa3yzyehy7w50umdvvnls2r830rys6lu2zns63eelv"",""amount"":""77701755967965700"",""price_usd"":2.66415002881e-7,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""473765040015"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-arbLUNA,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,39869.90,0.00,single,concentrated,false,36657.88,203,false,false,true,0.000000,0.00000000,271866699767,36834.30,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""578285628961"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""arbLUNA"",""denom"":""terra1se7rvuerys4kd2snt6vqswh9wugu49vhyzls8ymc02wl37g2p2ms5yz490"",""amount"":""113272682059"",""price_usd"":0.12552494346488532,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-ATOM,terra1j3d29y506cvtavdpakdzl6e0g2xcskvmmulsetcd0jfwrpr8eu9qfe0dmf,25502.60,0.00,bluechip,xyk,false,27519.31,203,false,false,true,0.000000,0.00000000,42097616409,20933.60,"[{""symbol"":""ATOM"",""denom"":""ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2"",""amount"":""8272022729"",""price_usd"":1.55,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""285683297775"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,22965.80,0.00,bluechip,concentrated,false,23059.42,203,false,false,true,0.000000,0.00000000,829146356,20272.70,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""260692368241"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""2662793300877252600"",""price_usd"":4278.44,""precision"":18}]"
2026-09-15,15:02:16,astroport,LUNA-SOLID,terra1e45ctmel6t5m9vdgxv3zxh3ecflkfcd6mr42sluzrqnhveqmy3fss338s7,14363.20,0.00,stable,xyk,false,14504.11,203,false,false,true,0.000000,0.00000000,27204677682,11885.00,"[{""symbol"":""SOLID"",""denom"":""terra10aa3zdkrc7jwuf8ekl3zq7e7m42vmzqehcmu74e4egc7xkm5kr2s0muyst"",""amount"":""7161243563"",""price_usd"":1.010177292428079,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""160652558023"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-USDT,terra1aategw0787y4fyunmwdvdqraxfc8jtxykyed2skx3p5fd3lkgkmsqry7pz,12650.40,0.00,stable,concentrated,false,12738.13,203,false,false,true,0.000000,0.00000000,28909683919,9507.77,"[{""symbol"":""USDT"",""denom"":""ibc/9B19062D46CAB50361CE9B0A3E6D0A7A53AC9E7CB361F32A73CC733144A9A9E5"",""amount"":""6327930541"",""price_usd"":0.999491,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""142511047711"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-INJ,terra10m23jmgtx0lvc6v5gffdmcutlmrgy9pnf8wun4mxft2xd3dnqdvsv392j5,11567.90,0.00,bluechip,xyk,false,15574.99,203,false,false,true,0.000000,0.00000000,10982375003589736,8817.92,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""132428539450"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""INJ"",""denom"":""ibc/25BC59386BB65725F735EFC0C369BB717AA8B5DAD846EAF9CBF5D0F18F207211"",""amount"":""1.0052248481696793e+21"",""price_usd"":5.67,""precision"":18}]"
2026-09-15,15:02:16,astroport,LUNA-arbLUNA,terra16nfwldn9j5xhry2y78gvm3x4vte8vu77zr3ctlan79w5f5aheawqnz7a4f,7674.20,0.00,single,stable,false,7345.18,203,false,true,true,0.000000,0.00000000,68103439768,6511.69,"[{""symbol"":""arbLUNA"",""denom"":""terra1se7rvuerys4kd2snt6vqswh9wugu49vhyzls8ymc02wl37g2p2ms5yz490"",""amount"":""9390664783"",""price_usd"":0.12552494346488532,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""146365335448"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-stLUNA,terra1re0yj0j6e9v2szg7kp02ut6u8jjea586t6pnpq6628wl36fphtpqwt6l7p,6942.97,0.00,project,stable,false,5874.36,203,false,false,true,0.000000,0.00000000,72428697518,5474.29,"[{""symbol"":""stLUNA"",""denom"":""ibc/08095CEDEA29977C9DD0CE9A48329FDA622C183359D5F90CF04CC4FF80CBE431"",""amount"":""14840918883"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""141573496839"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,ATOM-dATOM,terra1a0h6vrzkztjystg8sd949qyrc6mw9gzxk2870cr2mukg53uzgvqs46qul9,6531.78,0.00,single,concentrated,false,6531.78,203,false,false,true,0.000000,0.00000000,1664082610,196.46,"[{""symbol"":""ATOM"",""denom"":""ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2"",""amount"":""2635125865"",""price_usd"":1.55,""precision"":6},{""symbol"":""dATOM"",""denom"":""ibc/223FF539430381ADAB3A66AC4822E253C3F845E9841F17FEEC207B3AA9F8D915"",""amount"":""961059071"",""price_usd"":2.5464968063359787,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-bLUNA,terra1h32epkd72x7st0wk49z35qlpsxf26pw4ydacs8acq6uka7hgshmq7z7vl9,4960.20,0.00,project,stable,false,5353.79,203,false,false,true,0.000000,0.00000000,51973038849,3622.54,"[{""symbol"":""bLUNA"",""denom"":""terra17aj4ty4sz4yhgm08na8drc0v03v2jwr3waxcqrwhajj729zhl7zqnpc0ml"",""amount"":""12047897914"",""price_usd"":0.04446210846214372,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""99697992702"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,wstETH-WETH.axl,terra1yga5eepqnpg77gaj59uqfkm2qtllvpq642cmx5gj5lzjf5v88wzs2srzp7,1016.55,0.00,single,xyk,false,1016.55,203,false,false,true,0.000000,0.00000000,371169456322555140,1016.55,"[{""symbol"":""wstETH"",""denom"":""ibc/A356EC90DC3AE43D485514DA7260EDC7ABB5CFAA0654CE2524C739392975AD3C"",""amount"":""340176476095659100"",""price_usd"":2992.57,""precision"":18},{""symbol"":""WETH.axl"",""denom"":""ibc/BC8A77AFBD872FDC32A348D3FB10CC09277C266CFE52081DE341C7EC6752E674"",""amount"":""419460310234389300"",""price_usd"":0,""precision"":18}]"
2026-09-15,15:02:16,astroport,LUNA-ASTRO,terra1nwepezm3mghyxm7fjfhfr2d4jwqzndtncf9tclgunqfcwhe52mpq4sxaqr,978.04,0.00,project,concentrated,false,951.01,203,false,false,true,0.000000,0.00000000,221677276287,398.23,"[{""symbol"":""ASTRO"",""denom"":""ibc/8D8A7F7253615E5F76CB6252A1E1BD921D5EDB7BBAAF8913FB1C77FF125D9995"",""amount"":""2592481745111"",""price_usd"":0,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""22033797842"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,ATOM-stATOM,terra1f9vmtntpjmkyhkxtlc49jcq6cv8rfz0kr06zv6efdtdgae4m9y9qlzm36t,494.88,0.00,single,concentrated,false,494.88,203,false,false,true,0.000000,0.00000000,188262040,0.02,"[{""symbol"":""ATOM"",""denom"":""ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2"",""amount"":""319278415"",""price_usd"":1.55,""precision"":6},{""symbol"":""stATOM"",""denom"":""ibc/FD9DBF0DB4D301313195159303811FD2FD72185C4B11A51659EFCD49D7FF1228"",""amount"":""97399051"",""price_usd"":0,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-WBTC.axl,terra1afkvgc0mxfqakqlaqpxdgy58n79x4r239q3tucxmrsqvqk7ce3ksnctxfu,483.37,0.00,bluechip,concentrated,false,483.37,203,false,false,true,0.000000,0.00000000,4327878,286.71,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""6039184784"",""price_usd"":0.04446267,""precision"":6},{""symbol"":""WBTC.axl"",""denom"":""ibc/05D299885B07905B6886F554B39346EA6761246076A1120B1950049B92B922DD"",""amount"":""355765"",""price_usd"":60517,""precision"":8}]"
2026-09-15,15:02:16,astroport,LUNA-SWTH,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,444.52,0.00,project,xyk,false,444.52,203,false,false,true,0.000000,0.00000000,133295243217,20.53,"[{""symbol"":""SWTH"",""denom"":""ibc/792AAE6279F4709F66068E29A79E6F16BBC0A9B93561A91FC040606793E62D6B"",""amount"":""131618360967301"",""price_usd"":0.00017091,""precision"":8},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""4957620703"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,LUNA-wBNB.axl,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,409.70,0.00,bluechip,concentrated,false,409.70,203,false,true,true,0.000000,0.00000000,36345180,1.48,"[{""symbol"":""wBNB.axl"",""denom"":""ibc/1319C6B38CA613C89D78C2D1461B305038B1085F6855E8CD276FE3F7C9600B4C"",""amount"":""307637337967574300"",""price_usd"":712.78,""precision"":18},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""4291922171"",""price_usd"":0.04446267,""precision"":6}]"
2026-09-15,15:02:16,astroport,WBTC.axl-WBTC.osmo,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,361.15,0.00,single,stable,false,361.15,203,false,false,true,0.000000,0.00000000,249916,359.71,"[{""symbol"":""WBTC.axl"",""denom"":""ibc/05D299885B07905B6886F554B39346EA6761246076A1120B1950049B92B922DD"",""amount"":""121932"",""price_usd"":60517,""precision"":8},{""symbol"":""WBTC.osmo"",""denom"":""ibc/CF57A83CED6CEC7D706631B5DC53ABC21B7EDA7DF7490732B4361E6D5DD19C73"",""amount"":""379552"",""price_usd"":75744,""precision"":8}]"
