date,time,dex,pool_name,pool_address,tvl_usd,volume_24h_usd,bucket,pool_type,is_amplified,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok,fees_24h_usd,fee_apr,lp_total_supply,astro_staked_usd,assets_json
2026-05-27,23:50:21,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,1088130.00,47329.10,project,concentrated,false,1097838.24,187,false,false,true,37.693900,0.01264396,6231965683744,135849.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""11123302913479"",""price_usd"":0.061058,""precision"":6},{""symbol"":""ampLUNA"",""denom"":""terra1ecgazyd0waaj3g7l9cmy5gulhxkps2gmxu9ghducvuypjq68mq2s5lvsct"",""amount"":""3130778487321"",""price_usd"":0.13013414314733754,""precision"":6}]"
2026-05-27,23:50:21,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,681536.00,87818.40,stable,concentrated,false,685154.71,187,false,false,true,71.286000,0.03817757,1284250575886,602845.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""5620774979419"",""price_usd"":0.061058,""precision"":6},{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""338260779873"",""price_usd"":0.999684,""precision"":6}]"
2026-05-27,23:50:21,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,340005.00,1485.83,bluechip,concentrated,false,339565.25,187,false,false,true,1.996350,0.00214311,155536922863,311213.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""169578139303"",""price_usd"":0.999684,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""146959238249"",""price_usd"":1.16,""precision"":6}]"
2026-05-27,23:50:21,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,231803.00,445.58,bluechip,stable,false,231746.67,187,false,false,true,0.111420,0.00017544,115613016756,185703.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""106754171962"",""price_usd"":0.999684,""precision"":6},{""symbol"":""USDT"",""denom"":""ibc/9B19062D46CAB50361CE9B0A3E6D0A7A53AC9E7CB361F32A73CC733144A9A9E5"",""amount"":""125256291406"",""price_usd"":0.998524,""precision"":6}]"
2026-05-27,23:50:21,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,132947.00,8655.28,bluechip,concentrated,false,133146.77,187,false,false,true,7.194570,0.01975237,980147797,126975.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""1111096261912"",""price_usd"":0.061058,""precision"":6},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""87777840"",""price_usd"":74028,""precision"":8}]"
2026-05-27,23:50:21,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,130319.00,401.95,project,xyk,false,125678.68,187,false,false,true,0.804309,0.00225272,55283271000,117253.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""65178953820"",""price_usd"":0.999684,""precision"":6},{""symbol"":""SOLID"",""denom"":""terra10aa3zdkrc7jwuf8ekl3zq7e7m42vmzqehcmu74e4egc7xkm5kr2s0muyst"",""amount"":""60734836216"",""price_usd"":1.0728518953995987,""precision"":6}]"
2026-05-27,23:50:21,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,106331.00,3629.62,single,concentrated,false,108024.62,187,false,false,true,1.771680,0.00608161,2922817,105500.00,"[{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""12384580061321478000"",""price_usd"":4444.56,""precision"":18},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""69073293"",""price_usd"":74028,""precision"":8}]"
2026-05-27,23:50:21,astroport,LUNA-PAXG,terra1xgdyzzhs2v2ne3us2kyj5ry47fwc7uk44k035dyyygq42xechwwqlddmcr,95301.00,4621.90,bluechip,concentrated,false,96490.14,187,false,false,true,2.590500,0.00992154,2878352169,93165.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""777525911043"",""price_usd"":0.061058,""precision"":6},{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""10734474671614292000"",""price_usd"":4444.56,""precision"":18}]"
2026-05-27,23:50:21,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,71911.90,1014.66,project,concentrated,false,73766.20,187,false,false,true,0.995802,0.00505435,3684247916757,67210.50,"[{""symbol"":""CAPA"",""denom"":""terra1t4p3u8khpd7f8qzurwyafxt648dya6mp6vur3vaapswt6m24gkuqrfdhar"",""amount"":""23603608782540"",""price_usd"":0.001519473456378309,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""591200018876"",""price_usd"":0.061058,""precision"":6}]"
2026-05-27,23:50:21,astroport,LUNA-arbLUNA,terra1p9lcjw8knxhtv2pyr9wa8e2ushjnjllljvsuu9cugv7trqynjzasz4x52j,69536.60,649.41,single,concentrated,false,79235.39,187,false,false,true,0.482952,0.00253503,350626464729,66855.10,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""731568335566"",""price_usd"":0.061058,""precision"":6},{""symbol"":""arbLUNA"",""denom"":""terra1se7rvuerys4kd2snt6vqswh9wugu49vhyzls8ymc02wl37g2p2ms5yz490"",""amount"":""150298649357"",""price_usd"":0.16453485812413973,""precision"":6}]"
