date,time,dex,pool_name,pool_address,tvl_usd,volume_24h_usd,bucket,pool_type,is_amplified,latest_epoch_avg_liquidity,latest_epoch,deprecated,is_deregistered,fetch_ok,fees_24h_usd,fee_apr,lp_total_supply,astro_staked_usd,assets_json
2026-08-11,03:01:19,astroport,LUNA-ampLUNA,terra1cupwgntu082ypw2ztgtxfzcenexcu6ggp5zzunn3yzfwgrvdcclqgjrjqg,766809.00,9848.15,project,concentrated,false,765406.08,198,false,false,true,8.450340,0.00402235,6244266988882,95087.60,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""11391052117446"",""price_usd"":0.04160994,""precision"":6},{""symbol"":""ampLUNA"",""denom"":""terra1ecgazyd0waaj3g7l9cmy5gulhxkps2gmxu9ghducvuypjq68mq2s5lvsct"",""amount"":""3038413479128"",""price_usd"":0.09637534639740279,""precision"":6}]"
2026-08-11,03:01:19,astroport,LUNA-USDC,terra1v3lqxl0eyte9x3nhdgcj8hwvjq76aupnnzz0yll8mxs5cckc29pqvg2scu,355878.00,12519.00,stable,concentrated,false,352815.05,198,false,false,true,9.175030,0.00941021,810466589435,284559.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""4316439720030"",""price_usd"":0.04160994,""precision"":6},{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""176340404232"",""price_usd"":0.999607,""precision"":6}]"
2026-08-11,03:01:19,astroport,USDC-EURe,terra1ys7edvw89krf47n4zsz4c4m9das7ppltjtfv2epw85thqpvl6hhqn55m6y,271962.00,1870.80,bluechip,concentrated,false,272515.18,198,false,false,true,2.444450,0.00328069,124824398236,237662.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""136037115710"",""price_usd"":0.999607,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""118239708754"",""price_usd"":1.15,""precision"":6}]"
2026-08-11,03:01:19,astroport,LUNA-EURe,terra1vhxl8ggscmhae3muvwvs2vs8ppprzqf07xngcdp798fwnrcksjxszqfa8n,206666.00,866.22,stable,concentrated,false,207269.70,198,false,false,true,0.858656,0.00151650,464005173192,197923.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""2492404630145"",""price_usd"":0.04160994,""precision"":6},{""symbol"":""EURe"",""denom"":""ibc/8D52B251B447B7160421ACFBD50F6B0ABE5F98D2C404B03701130F12044439A1"",""amount"":""89257976314"",""price_usd"":1.15,""precision"":6}]"
2026-08-11,03:01:19,astroport,USDC-USDT,terra1dnssvse0fqw4d4gqc8kvchfud5r6e8cr7w9cdpervhl2pgr2eecquujpg6,192728.00,9064.31,bluechip,stable,false,194584.82,198,false,false,true,2.266590,0.00429261,96067996267,142978.00,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""86541200530"",""price_usd"":0.999607,""precision"":6},{""symbol"":""USDT"",""denom"":""ibc/9B19062D46CAB50361CE9B0A3E6D0A7A53AC9E7CB361F32A73CC733144A9A9E5"",""amount"":""106313783848"",""price_usd"":0.999129,""precision"":6}]"
2026-08-11,03:01:19,astroport,PAXG-WBTC,terra1g55qjcptzqgdyqfgzu5mj8x82955rvlxy4c37z5t6ldgz7cz033q0xr2lx,131665.00,4437.52,single,concentrated,false,131751.54,198,false,false,true,4.050770,0.01122949,3919983,46806.00,"[{""symbol"":""PAXG"",""denom"":""ibc/0EF5630576C66968EF0787868CF09FD866FAD131BC148D24A148358A85F0EB62"",""amount"":""14916489352327307000"",""price_usd"":4401.75,""precision"":18},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""103175732"",""price_usd"":63975,""precision"":8}]"
2026-08-11,03:01:19,astroport,LUNA-WBTC,terra1mea829xtsnxwv4l9lhzs0tzpnyamjpz5y45a9tpp06jgdhjd48yqc4ales,96485.90,3128.89,bluechip,concentrated,false,97133.32,198,false,false,true,3.044910,0.01151870,927625563,90145.00,"[{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""1167879984625"",""price_usd"":0.04160994,""precision"":6},{""symbol"":""WBTC"",""denom"":""ibc/88386AC48152D48B34B082648DF836F975506F0B57DBBFC10A54213B1BF484CB"",""amount"":""74858184"",""price_usd"":63975,""precision"":8}]"
2026-08-11,03:01:19,astroport,USDC-SOLID,terra1fwjxdjpl98shj20l4swlen9hyu4lhvekrvqkqn393lzzghmsn2wqjdnvpu,93449.00,93.19,project,xyk,false,93426.49,198,false,false,true,0.186499,0.00072844,41130125731,79221.60,"[{""symbol"":""USDC"",""denom"":""ibc/2C962DAB9F57FE0921435426AE75196009FAA1981BF86991203C8411F8980FDB"",""amount"":""46763606617"",""price_usd"":0.999607,""precision"":6},{""symbol"":""SOLID"",""denom"":""terra10aa3zdkrc7jwuf8ekl3zq7e7m42vmzqehcmu74e4egc7xkm5kr2s0muyst"",""amount"":""46933057749"",""price_usd"":0.9951135299068864,""precision"":6}]"
2026-08-11,03:01:19,astroport,LUNA-CAPA,terra183wqgrwa2k0uvlz99j57c496gfuwgtaccrhv4stcjzv3ydacl9zq0hmf25,55970.40,222.24,project,concentrated,false,56161.57,198,false,false,true,0.221379,0.00144368,3909782590789,51549.00,"[{""symbol"":""CAPA"",""denom"":""terra1t4p3u8khpd7f8qzurwyafxt648dya6mp6vur3vaapswt6m24gkuqrfdhar"",""amount"":""23291354830123"",""price_usd"":0.001197314886638959,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""674919614340"",""price_usd"":0.04160994,""precision"":6}]"
2026-08-11,03:01:19,astroport,LUNA-FUEL,terra10yfnsqn20rzlnlzkeva5255q27zp6ws9te9uuql9e0lacfcze7zsffjct5,43269.40,7.05,project,concentrated,false,43463.85,198,false,false,true,0.006433,0.00005427,2215688087511,34729.10,"[{""symbol"":""FUEL"",""denom"":""ibc/4B44179AC2F0BEE50C16A673B3B886398988692885B2848A1C8AEF27148B3961"",""amount"":""9556786387547"",""price_usd"":0.002286749989220531,""precision"":6},{""symbol"":""LUNA"",""denom"":""uluna"",""amount"":""514671532024"",""price_usd"":0.04160994,""precision"":6}]"
