period,period_start,period_end,snapshots_used,snapshots_expected,has_gaps,dex,pool_name,pool_address,bucket,epoch,avg_liquidity_usd,total_volume_usd,liq_points,vol_points,tier,deprecated
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-SWTH,terra1crlsemxx6yjpeq3am9dzccln0dykusm685ecxscuyny7u596elqqj6xd9z,project,198,0.00,4.17,0,3,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-wBNB.axl,terra10clh64cpvjjen8f24qz2046d24s79w2ev2dyd9ke29wmqdqp4yjs3cyk0y,bluechip,198,0.00,0.00,0,0,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,WBTC.axl-WBTC.osmo,terra1mps5z5gt2c2akwcp86mq0zhw66kdugtc3selcyradtje0vp0z49sfrk8jx,single,198,0.00,19.49,0,4,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,SWTH-rSWTH,terra1rzw2egugtjhxz2x58z55kwldm96fzck8qsf9srf5v0uehf64a2asjsak68,single,198,0.00,0.00,0,0,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-wSOL.wh,terra16zzqwekwsqn4zlsyu4vhjr52ee2hdvppjcr8h22qznjadaazzdgsvd905d,bluechip,198,0.00,0.54,0,2,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-wstETH,terra1u0sp5gaw9amfa8vsaaqvvjpqqdyz4eeslzdjsgaq40afctpx7f6s6augj2,bluechip,198,0.00,1.65,0,7,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-WBTC,terra1p996av7ftzj973swd4yt2er2sn3v9y5j9qfxz67gatnrpf8lfgwsel8hcg,bluechip,198,0.00,0.14,0,3,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-wBNB.wh,terra1v3xmc8nn8h8e7z55d80a72g4rgz6mrxyasxq089k8n6m40xldlksf2w5x8,bluechip,198,0.00,0.06,0,1,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,WHALE-ampWHALE,terra129hvq9mgqtye4kg0cfmv9z6sq5f7sgpmrspr72968xx20gx4t2rqvpue0z,single,198,0.00,0.01,0,1,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,WHALE-bWHALE,terra18hhsyrjac6hud4tc9q05s8em35utm6jndswhw5v56lh5ld37ml6secl2rd,single,198,0.00,0.01,0,1,no-data,false
2026-epoch-198,2026-08-10,2026-08-16,19,36,true,astroport,LUNA-WHALE,terra1a6d0lcvfzyllulaaazzg5j70yn4m3e2t90shtlxsr3fwhcg34g2sgwfr75,project,198,0.00,0.01,0,1,no-data,false
